Name, Min, Max, Mandatory or Optional, Description
numProcsX, 1, INT_MAX, Mandatory, Number of cores to be used for horizontal domain decomposition in X directions
numProcsY, 1, INT_MAX, Mandatory, Number of cores to be used for horizontal domain decomposition in Y directions
GADSelector, 0, 1, Mandatory, Generalized Actuator Disk Selector: 0=off; 1=on
GADoutputForces, 0, 1, Optional, Flag to include GAD forces in the output: 0=off; 1=on
GADofflineForces, 0, 1, Optional, Flag to compute GAD forces in an offline mode: 0=off; 1=on
GADaxialInduction, 0, 1, Optional, Flag to compute axial induction factor: 0==off (uses prescribed GADaxialIndVal); 1==on
GADrefSwitch, 0, 1, Optional, Switch to use reference windspeed: 0=off; 1=on
GADrefSeriesLength, 1, 360, Optional, Number of sampling windows over which to average again for reference velocity magnitude and direction
GADForcingSwitch, 0, 1, Optional, Switch to use the GADrefU-based or local windspeed in computing GAD forces: 0=local; 1=ref
urbanSelector, 0, 2, Mandatory, Urban selector: 0=off; 1=on
urban_heatRedis, 0, 1, Mandatory, Selector to activate surface heat redistribution
Nx, 1, INT_MAX, Mandatory, Complete Cartesian Domain extents in the x direction
Ny, 1, INT_MAX, Mandatory, Complete Cartesian Domain extents in the y direction
Nz, 1, INT_MAX, Mandatory, Complete Cartesian Domain extents in the z direction
Nh, 0, INT_MAX, Mandatory, Number of halo cells to be used (dependent on largest stencil extent)
coordHorizHalos, 0, 1, Mandatory, Switch to setup coordiante halos as periodic; or gradient following
verticalDeformSwitch, 0, 1, Mandatory, Switch to use vertical coordinate deformation
tBx, 1, INT_MAX, Mandatory, Thread block size in x direction
tBy, 1, INT_MAX, Mandatory, Thread block size in y direction
tBz, 1, INT_MAX, Mandatory, Thread block size in z direction
timeMethod, 0, 0, Mandatory, Selector for time integration method. [0=RK1; 1=RK3-WS2002 (default)]
Nt, 1, INT_MAX, Mandatory, Number of timesteps to perform
NtBatch, 1, Nt, Mandatory, Number of timesteps in a batch to perform in a CUDA kernel launch
hydroBCs, 1, 2, Mandatory, Selector for hydro BC set. 1= Dirichlet lateral ceiling and surface boundary conditions (Limited Area Domain -- LAD) 2= periodicHorizVerticalAbl
hydroBndysFileStart, 0, 500000, Mandatory, Start counter value for LAD BC set files (hydroBCs = 1)
hydroBndysFileEnd, 0, 500000, Mandatory, End counter value for LAD BC set files (hydroBCs = 1)
hydroForcingWrite, 0, 1, Mandatory, Switch for dumping forcing fields of prognostic variables. 0-off (default) 1= on
